City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,invercargill,-46.4,168.35,8.53,76,87,8.08,NZ,1688508339
121,port alfred,-33.5906,26.891,15.1,60,57,9.52,ZA,1688508340
122,kikwit,-5.041,18.8162,23.5,39,2,0.78,CD,1688508340
123,hasparren,43.3838,-1.305,21.7,73,75,2.57,FR,1688508340
124,ballina,-28.8667,153.5667,15.43,90,33,3.28,AU,1688508341
125,fallon,39.4735,-118.7774,34.69,17,0,4.12,US,1688508063
126,cabo san lucas,22.8909,-109.9124,33.67,58,40,5.66,MX,1688508341
127,happy valley-goose bay,53.3168,-60.3315,20.17,64,75,4.12,CA,1688508341
128,clarksburg,39.2807,-80.3445,30.25,55,20,2.57,US,1688508342
129,colonia,50.9333,6.95,19.97,70,20,2.57,DE,1688508342
130,bloomfield,40.8068,-74.1854,28.23,73,0,2.06,US,1688508342
131,san luis de la loma,17.2706,-100.8939,29.94,73,95,3.03,MX,1688508342
132,tangalle,6.024,80.7911,26.09,87,100,6.39,LK,1688508342
133,casper,42.8666,-106.3131,12.33,76,100,6.69,US,1688508343
134,hamilton,39.1834,-84.5333,32.45,65,75,3.09,US,1688508330
135,dudinka,69.4058,86.1778,15.9,85,58,5.17,RU,1688508343
136,myeik,12.4333,98.6,24.84,90,96,1.7,MM,1688508344
137,albert lea,43.648,-93.3683,29.62,65,100,2.06,US,1688508344
138,peace river,56.2501,-117.286,22.17,46,75,3.09,CA,1688508344
139,st. john's,47.5649,-52.7093,21.66,92,75,6.17,CA,1688508294
140,magong,23.5654,119.5863,28.48,86,100,6.46,TW,1688508344
141,rantepao,-2.9701,119.8978,18.79,97,71,0.73,ID,1688508345
142,reggane,26.7158,0.1714,41.29,7,22,4.28,DZ,1688508345
143,amga,60.8953,131.9608,20.01,67,100,1.45,RU,1688508345
144,cooper's town,26.8667,-77.5167,29.37,70,98,3.05,BS,1688508345
145,al bawiti,28.3492,28.8659,28.75,40,0,5.32,EG,1688508346
146,biltine,14.5333,20.9167,34.37,23,92,1.29,TD,1688508346
147,nuku'alofa,-21.1333,-175.2,24.19,60,40,4.12,TO,1688508346
148,tamanrasset,22.785,5.5228,31.95,11,0,2.57,DZ,1688508346
149,curaca,-8.9903,-39.9094,24.25,54,97,9.93,BR,1688508346
150,muzaffarabad,34.37,73.4711,23.45,81,51,1.82,PK,1688508346
151,lazaro cardenas,17.9583,-102.2,30.86,64,23,4.87,MX,1688508347
152,patong,7.8961,98.2966,25.08,76,100,2.78,TH,1688508347
153,dourados,-22.2211,-54.8056,18.05,65,0,3.6,BR,1688508136
154,vimmerby,57.6659,15.8552,12.57,83,97,4.8,SE,1688508347
155,la passe,45.5549,-0.8967,19.13,86,3,5.74,FR,1688508347
156,uturoa,-16.7333,-151.4333,26.76,70,19,7.28,PF,1688508348
157,yuzhno-kurilsk,44.0306,145.8556,11.39,97,100,3.28,RU,1688508348
158,utrik,11.2278,169.8474,27.65,80,100,7.92,MH,1688508348
159,lensk,60.7253,114.9278,15.38,94,100,3.67,RU,1688508348
160,pesqueira,-8.3578,-36.6964,17.82,94,85,5.3,BR,1688508348
161,mbandaka,0.0487,18.2603,21.68,89,85,1.39,CD,1688508349
162,saint-paul,-21.0096,55.2707,21.05,84,38,1.74,RE,1688508349
163,bengkulu,-3.8004,102.2655,23.92,93,46,2.63,ID,1688508349
164,shchyolkino,45.4291,35.8223,24.5,63,0,2.24,UA,1688508349
165,bam,29.106,58.357,30.93,16,9,4.96,IR,1688508349
166,vrangel',42.7297,133.0839,17.71,93,100,7.31,RU,1688508350
167,lihue,21.9789,-159.3672,28.77,68,40,5.66,US,1688508350
168,new norfolk,-42.7826,147.0587,6.07,83,100,1.09,AU,1688508350
169,horodnytsya,50.807,27.3168,17.3,97,100,1.87,UA,1688508350
170,avarua,-21.2078,-159.775,26.03,73,75,2.57,CK,1688508350
171,isafjordur,66.0755,-23.124,5.04,94,100,5.13,IS,1688508350
172,zhangjiakou,40.81,114.8794,20.47,36,5,1.8,CN,1688508351
173,afaahiti,-17.75,-149.2833,28.93,79,16,4.66,PF,1688508351
174,piacabucu,-10.4056,-36.4344,23.38,75,89,5.35,BR,1688508351
175,albany,42.6001,-73.9662,31.62,64,11,2.0,US,1688508239
176,al jahra',29.3375,47.6581,37.72,13,0,6.84,KW,1688508351
177,kawambwa,-9.7915,29.0791,13.32,46,0,2.26,ZM,1688508352
178,severo-yeniseyskiy,60.3725,93.0408,12.01,93,60,1.11,RU,1688508352
179,vanino,49.0869,140.2543,12.3,98,100,1.03,RU,1688508352
180,luza,60.6308,47.2512,13.1,81,6,2.41,RU,1688508353
181,meraux,29.933,-89.9498,33.89,61,0,5.14,US,1688508353
182,qui nhon,13.7667,109.2333,25.84,85,80,1.55,VN,1688508354
183,ilulissat,69.2167,-51.1,8.01,87,100,0.51,GL,1688508354
184,castillos,-34.1667,-53.8333,16.97,86,77,3.56,UY,1688508354
185,aral,40.5156,81.2636,25.0,29,91,3.66,CN,1688508355
186,gorodishche,48.8045,44.4744,22.49,68,0,4.0,RU,1688508355
187,sassandra,4.95,-6.0833,24.82,90,6,2.83,CI,1688508355
188,nemuro,43.3236,145.575,10.79,98,100,6.61,JP,1688508356
189,nouadhibou,20.931,-17.0347,21.99,88,75,9.26,MR,1688508356
190,bafoulabe,13.8065,-10.8321,31.83,54,95,0.52,ML,1688508356
191,luderitz,-26.6481,15.1594,15.83,65,0,5.82,NA,1688508357
192,bratsk,56.1325,101.6142,18.27,89,95,3.36,RU,1688508357
193,luanda,-8.8368,13.2343,20.0,88,40,1.54,AO,1688508357
194,fort bragg,35.139,-79.006,35.25,49,0,2.57,US,1688508357
195,gillette,44.2911,-105.5022,16.17,74,75,4.63,US,1688508058
196,hemsby,52.6971,1.6918,13.37,90,100,4.15,GB,1688508357
197,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,82,0,1.0,RU,1688508358
198,alofi,-19.0595,-169.9187,24.94,78,40,7.2,NU,1688508358
199,sur,22.5667,59.5289,31.48,66,61,2.65,OM,1688508358
200,richards bay,-28.783,32.0377,19.61,78,89,5.12,ZA,1688508358
201,storm lake,42.6411,-95.2097,27.47,78,0,2.57,US,1688508358
202,inongo,-1.95,18.2667,21.31,64,8,1.51,CD,1688508359
203,qobustan,40.0824,49.412,26.89,52,46,2.01,AZ,1688508351
204,kaluga,54.5,35.5,16.26,74,70,1.87,RU,1688508359
205,puerto baquerizo moreno,-0.9,-89.6,26.55,74,75,4.12,EC,1688508359
206,goure,13.9835,10.2704,34.38,28,100,4.09,NE,1688508359
207,paita,-5.0892,-81.1144,24.51,73,41,8.74,PE,1688508359
208,lompoc,34.6391,-120.4579,30.56,73,20,4.63,US,1688508360
209,saurimo,-9.6608,20.3916,15.95,44,0,2.36,AO,1688508360
210,nabire,-3.3667,135.4833,24.92,90,98,1.55,ID,1688508360
211,moose jaw,50.4001,-105.5344,17.15,39,75,6.69,CA,1688508360
212,gamba,-2.65,10.0,20.41,92,1,2.09,GA,1688508360
213,sangeru,45.1333,26.35,19.23,77,20,1.84,RO,1688508360
214,badger,64.8,-147.5333,20.0,40,20,4.12,US,1688508360
215,kone,-21.0595,164.8658,23.05,64,58,2.27,NC,1688508361
216,tilcara,-23.5776,-65.3509,9.36,34,43,1.73,AR,1688508361
217,ayame,5.6083,-3.1563,23.18,97,67,1.39,CI,1688508361
218,karimpur,23.9667,88.6167,27.08,90,100,2.58,IN,1688508362
219,inhambane,-23.865,35.3833,18.94,81,0,2.09,MZ,1688508362
220,rongelap,11.1635,166.8941,27.66,80,84,7.72,MH,1688508363
221,nova vicosa,-17.8919,-39.3719,20.68,72,80,5.21,BR,1688508363
222,nikolayevsk-on-amure,53.1406,140.73,18.16,72,69,2.3,RU,1688508364
223,lake monticello,37.9232,-78.3347,32.26,74,99,1.79,US,1688508365
224,laguna,38.421,-121.4238,35.1,34,0,3.6,US,1688508365
225,hithadhoo,-0.6,73.0833,28.2,71,100,7.34,MV,1688508366
226,mejit,10.2753,170.8646,27.97,75,46,6.17,MH,1688508366
227,jolo,6.05,121.0167,25.02,91,100,3.12,PH,1688508367
228,tolanaro,-25.0319,46.9987,21.04,68,20,4.12,MG,1688508368
229,remire-montjoly,4.9167,-52.2667,24.02,88,100,0.51,GF,1688508129
